,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
513,PHBBTC,1.07e-06,28.084,4.65e-06,0.00000381,4.88e-06,400.00000000,0.00000488,654.60000000,4.91e-06,2015.50000000,0.00000381,0.00000539,0.00000354,8020664.20000000,37.29590348,1652128987221,1652215387221,4752065,4769681,17617.0
994,YFIIUSDT,132.0,13.213,1189.01281579,1000.00000000,1131.0,0.01960000,1131.00000000,0.01970000,1134.0,0.01810000,999.00000000,1500.00000000,987.00000000,10434.15660000,12406345.91940000,1652128990146,1652215390146,25418528,25509655,91128.0
993,YFIIBUSD,131.0,13.113,1202.00787058,998.00000000,1130.0,0.08660000,1124.00000000,0.40040000,1142.0,0.02260000,999.00000000,1370.00000000,987.00000000,1392.16000000,1673387.27710000,1652128990237,1652215390237,1761067,1773626,12560.0
992,YFIIBTC,0.004,12.422,0.03781967,0.03220000,0.0362,0.04040000,0.03610000,3.27180000,0.0364,0.01060000,0.03220000,0.04490000,0.03210000,907.69010000,34.32853592,1652128990124,1652215390124,6267676,6288396,20721.0
2034,JASMYEUR,0.0016,12.308,0.01478824,0.01300000,0.0146,16558.60000000,0.01440000,421389.30000000,0.0146,97377.90000000,0.01300000,0.01640000,0.01300000,8960156.00000000,132504.94658000,1652128978707,1652215378707,972,1446,475.0
1692,SSVBTC,3.5e-05,12.094,0.00031074,0.00028940,0.0003244,13.12000000,0.00032340,4.64000000,0.0003246,4.20000000,0.00028940,0.00034000,0.00028000,51734.25000000,16.07578211,1652128989686,1652215389686,1341054,1346897,5844.0
1988,JASMYTRY,0.0248,11.578,0.24255925,0.21430000,0.239,6276.00000000,0.23850000,23391.00000000,0.239,30675.00000000,0.21420000,0.26700000,0.21010000,1894133473.00000000,459439586.12990000,1652128987904,1652215387904,2426812,2487358,60547.0
869,MKRUSDT,123.0,11.571,1185.95902782,1063.00000000,1186.0,0.04110000,1186.00000000,5.10120000,1187.0,0.54150000,1063.00000000,1258.00000000,1023.00000000,10679.65430000,12665632.43110000,1652128988939,1652215388939,20866341,20927164,60824.0
870,MKRBUSD,121.0,11.34,1196.62717974,1058.00000000,1188.0,0.32580000,1185.00000000,0.56430000,1188.0,1.47410000,1067.00000000,1257.00000000,1027.00000000,448.24790000,536385.62040000,1652128983764,1652215383764,3438104,3441552,3449.0
868,MKRBTC,0.0038,11.034,0.0373531,0.03432000,0.03824,0.01400000,0.03819000,0.00330000,0.03822,0.42140000,0.03444000,0.03966000,0.03399000,658.92420000,24.61286462,1652128987906,1652215387906,3847519,3852510,4992.0
1455,AGIXBTC,2.4e-07,10.084,2.52e-06,0.00000238,2.62e-06,191.00000000,0.00000261,1107.00000000,2.62e-06,5335.00000000,0.00000238,0.00000273,0.00000230,9773397.00000000,24.62572096,1652128984787,1652215384787,2972881,2977291,4411.0
1693,SSVETH,0.000375,9.554,0.00416593,0.00393500,0.0043,5.08000000,0.00430300,13.43000000,0.004317,1.62000000,0.00392500,0.00449800,0.00381900,41889.34000000,174.50810595,1652128988826,1652215388826,402289,404442,2154.0
1770,JASMYUSDT,0.0013,9.353,0.01564551,0.01380000,0.0152,778.40000000,0.01520000,11534541.30000000,0.0153,8712156.30000000,0.01390000,0.01720000,0.01350000,5150961221.40000000,80589412.45329000,1652128990223,1652215390223,18702430,18823904,121475.0
1771,JASMYBUSD,0.0013,9.353,0.0156745,0.01390000,0.0152,4450.80000000,0.01520000,1350834.50000000,0.0153,1068270.70000000,0.01390000,0.01720000,0.01350000,794931592.70000000,12460155.55761000,1652128990245,1652215390245,4938482,4971649,33168.0
975,TRBBUSD,1.1,8.24,13.61595944,13.55000000,14.45,25.70000000,14.35000000,10.73000000,14.45,136.49000000,13.35000000,15.26000000,11.85000000,21460.13000000,292200.25970000,1652128982561,1652215382561,1784351,1786750,2400.0
1458,SHIBTRY,1.933e-05,8.209,0.00025466,0.00023538,0.00025481,13924308.00,0.00025451,296000000.00,0.00025485,122887864.00,0.00023548,0.00027739,0.00021229,2182651734605.00,555842230.94446330,1652128990238,1652215390238,37267283,37364914,97632.0
