,symbol,priceChange,priceChangePercent,lastPrice
835,ETHBIDR,892259.0,2.677,34225592.0
782,BNBIDRT,206198.0,4.592,4696133.0
836,BNBBIDR,145696.0,3.206,4690861.0
834,BTCBIDR,85824.0,0.019,454343984.0
666,BTCRUB,19136.0,0.879,2195959.0
682,BTCTRY,8467.0,1.772,486272.0
667,ETHRUB,4682.0,2.916,165255.5
1451,ETHUAH,2027.0,2.722,76498.0
978,DOTBIDR,1780.0,1.08,166524.0
2007,BTCUST,1383.12,4.242,33985.82
685,ETHTRY,1382.0,3.921,36630.0
669,BNBRUB,878.51,4.031,22673.65
1459,MATICBIDR,854.0,6.916,13203.0
911,YFIBUSD,658.34,5.018,13779.05
1188,YFIEUR,586.17,4.692,13080.19
912,YFIUSDT,577.48,4.377,13769.47
1623,BTCUSDP,401.47,1.303,31203.67
1621,SOLBIDR,349.0,0.036,970757.0
1391,BNBUAH,302.0,2.99,10402.0
1130,ETHBRL,256.59,2.164,12113.79
1610,XRPBIDR,254.0,3.477,7559.0
683,BNBTRY,235.0,4.909,5022.0
312,BTCTUSD,206.78,0.67,31082.56
886,BTCAUD,163.74,0.367,44783.25
919,BTCDAI,153.13,0.495,31081.94
1087,BTCBRL,153.0,0.095,160917.0
1870,ETHUST,138.92,5.758,2551.54
994,YFIIUSDT,132.0,13.213,1131.0
993,YFIIBUSD,131.0,13.113,1130.0
417,BTCUSDC,125.93,0.407,31062.16
869,MKRUSDT,123.0,11.571,1186.0
870,MKRBUSD,121.0,11.34,1188.0
689,BTCEUR,110.02,0.374,29531.7
821,BTCGBP,109.06,0.433,25270.0
11,BTCUSDT,106.06,0.343,31066.44
1505,ADABIDR,105.0,1.126,9427.0
614,BTCBUSD,103.02,0.333,31056.25
887,ETHAUD,78.24,2.376,3371.3
1519,SOLRUB,78.0,1.684,4709.0
314,ETHTUSD,59.99,2.638,2333.88
690,ETHEUR,56.76,2.618,2224.68
632,ETHBUSD,56.14,2.459,2338.96
12,ETHUSDT,55.76,2.441,2340.01
920,ETHDAI,55.41,2.426,2339.32
418,ETHUSDC,54.32,2.378,2339.04
1144,BNBBRL,51.0,3.166,1662.0
822,ETHGBP,48.95,2.638,1904.26
1991,BIFIUSDT,41.8,5.281,833.3
1624,ETHUSDP,40.58,1.763,2341.81
1339,BIFIBUSD,39.9,5.048,830.3
1189,ZILBIDR,34.0,3.494,1007.0
1901,BNBUST,25.1,7.699,351.1
1431,DOGEBIDR,19.0,1.198,1605.0
1496,SOLTRY,17.7,1.732,1039.7
904,BNBAUD,15.5,3.471,462.1
1625,BNBUSDP,13.29,4.273,324.31
412,BNBTUSD,10.8,3.484,320.8
416,BNBUSDC,10.7,3.453,320.6
98,BNBUSDT,10.6,3.418,320.7
613,BNBBUSD,10.5,3.386,320.6
824,BNBGBP,9.1,3.615,260.8
1515,DOTRUB,8.0,0.999,809.0
1599,GNOUSDT,7.5,3.021,255.8
892,BNBUPUSDT,5.34,6.886,82.89
1639,ILVBUSD,5.3,1.414,380.0
1869,ATOMTRY,5.1,2.364,220.8
1888,ICPTRY,4.9,3.023,167.0
1638,ILVUSDT,4.8,1.28,379.8
1277,DOTTRY,4.7,2.704,178.5
1460,MATICRUB,4.5,7.543,64.16
833,COMPUSDT,4.2,5.0,88.2
1171,AVAXTRY,2.5,0.361,695.6
1571,FARMBUSD,2.1,3.5,62.1
1503,FTTBUSD,2.04,6.559,33.14
1021,LINKTRY,2.0,1.498,135.5
1736,MOVRUSDT,1.8,6.338,30.2
1735,MOVRBUSD,1.7,5.986,30.1
1950,INJTRY,1.63,3.441,49.0
1572,FARMUSDT,1.6,2.649,62.0
1498,SOLBRL,1.5,0.438,344.2
668,XRPRUB,1.28,3.646,36.39
1838,CVXUSDT,1.27,6.503,20.8
1318,EGLDEUR,1.11,1.094,102.58
975,TRBBUSD,1.1,8.24,14.45
1487,MATICTRY,1.061,8.131,14.11
976,TRBUSDT,0.98,7.308,14.39
850,ETHUPUSDT,0.944,6.485,15.5
1187,BCHEUR,0.8,0.367,218.6
1343,ADARUB,0.79,1.772,45.36
1001,EGLDBUSD,0.7,0.655,107.62
1315,DOTBRL,0.64,1.095,59.1
1998,MULTIUSDT,0.58,6.086,10.11
1997,MULTIBUSD,0.57,5.994,10.08
1002,EGLDUSDT,0.55,0.514,107.53
1279,FXSBUSD,0.538,2.998,18.484
1815,FXSUSDT,0.52,2.894,18.491
1900,ATOMBRL,0.5,0.685,73.5
1814,ALICETRY,0.4,0.676,59.6
1832,XTZTRY,0.39,1.188,33.21
673,BUSDRUB,0.37,0.526,70.7
1429,ETCEUR,0.36,1.611,22.71
686,XRPTRY,0.346,4.484,8.062
688,USDTRUB,0.32,0.455,70.68
972,WNXMUSDT,0.31,1.369,22.96
1844,COCOSTRY,0.29,1.919,15.4
1452,MATICBRL,0.288,6.569,4.672
1453,SOLEUR,0.27,0.429,63.17
1609,SOLAUD,0.26,0.272,95.73
795,BTCUPUSDT,0.253,1.389,18.463
1424,ICPUSDT,0.25,2.388,10.72
684,BUSDTRY,0.225,1.458,15.657
687,USDTTRY,0.222,1.439,15.651
503,ATOMUSDC,0.22,1.577,14.17
1311,BADGERUSDT,0.21,3.547,6.13
1347,NEOTRY,0.2,0.092,217.1
1533,DOTAUD,0.17,1.048,16.39
780,SOLBUSD,0.16,0.242,66.4
779,SOLUSDT,0.14,0.211,66.41
1131,DOTEUR,0.13,1.213,10.85
1650,SOLUSDC,0.12,0.181,66.43
636,ETCBUSD,0.11,0.464,23.82
1536,DEXEUSDT,0.1,2.597,3.95
1112,INJBUSD,0.097,3.144,3.182
1765,LRCTRY,0.09,1.006,9.04
1405,CAKEGBP,0.088,1.854,4.835
1514,MATICAUD,0.082,6.743,1.298
1434,ARBUSD,0.08,0.449,17.91
1297,ACMBUSD,0.077,1.81,4.332
1182,XRPBRL,0.072,2.773,2.668
1206,TRXTRY,0.0695,5.934,1.2408
1298,ACMUSDT,0.069,1.616,4.338
1113,INJUSDT,0.068,2.214,3.14
502,ATOMUSDT,0.06,0.427,14.12
2004,ZILTRY,0.056,5.469,1.08
1346,MATICEUR,0.0553,6.894,0.8574
1956,MBOXTRY,0.05,0.219,22.9
1457,MATICGBP,0.0486,7.091,0.734
1906,SCRTUSDT,0.047,1.678,2.848
1704,SCRTBUSD,0.045,1.608,2.844
1392,ONTTRY,0.044,0.762,5.821
